Использовать заднюю рулевую рейку,Работа,Задание положения,Статус,Текущее положение,Ток статора,Температура инвертора,"Ограничение рулевой рейки ""+""","Ограничение рулевой рейки ""-""",Нулевое положение рулевой рейки,Множитель для показаний тока рулевых,Работа,Задание положения,Статус,Текущее положение,Ток статора,Температура инвертора,"Ограничение рулевой рейки ""+""","Ограничение рулевой рейки ""-""",Нулевое положение рулевой рейки,Множитель для показаний тока рулевых,time
1.0,1.0,-12.0,1.0,-11.0,100.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,3900.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:47.234703
1.0,1.0,-12.0,1.0,-11.0,600.0,13.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,3900.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:47.701157
1.0,1.0,-12.0,1.0,-11.0,200.0,13.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:48.185041
1.0,1.0,-12.0,1.0,-11.0,300.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:48.656167
1.0,1.0,-12.0,1.0,-11.0,0.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:49.206206
1.0,1.0,-12.0,1.0,-11.0,400.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:49.759341
1.0,1.0,-12.0,1.0,-11.0,500.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:50.276784
1.0,1.0,-12.0,1.0,-11.0,500.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:50.795013
1.0,1.0,-12.0,1.0,-11.0,500.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:51.265787
1.0,1.0,-12.0,1.0,-11.0,300.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:51.735445
1.0,1.0,-12.0,1.0,-11.0,800.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:52.268196
1.0,1.0,-12.0,1.0,-11.0,400.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,3900.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:52.759904
1.0,1.0,-12.0,1.0,-11.0,600.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:53.212681
