скорость ПП колеса,скорость ПЛ колеса,скорость ЗП колеса,скорость ЗЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,положение рейки перед,ток рейки перед,температура рейки перед,положение рейки зад,ток рейки зад,температура рейки зад,напряжение ТАБ высокое ,ток батареи ТАБ,time
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,27.5,0.0,0.0,1.0,17800.0,18.0,0.0,12100.0,17.0,,-4.2,14:03:25.392187
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.3,14:03:25.771432
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.3,14:03:26.151848
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17600.0,18.0,0.0,12100.0,17.0,356.1,-4.3,14:03:26.573103
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.3,14:03:26.958322
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.3,14:03:27.328327
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.3,14:03:27.776483
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12000.0,17.0,356.1,-4.3,14:03:28.229980
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.3,14:03:28.778115
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,0.0,12100.0,17.0,356.1,-4.3,14:03:29.178459
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.3,14:03:29.547063
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.3,14:03:29.918973
0.0,0.0,0.0,0.0,1.0,0.78,5.08,3.29,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12000.0,17.0,356.1,-4.3,14:03:30.282130
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17700.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:30.667433
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:31.137278
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12000.0,17.0,356.1,-4.4,14:03:31.553682
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12000.0,17.0,356.1,-4.4,14:03:32.086866
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:32.525638
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:33.027291
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:33.428318
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:33.829209
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:34.197145
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:34.616010
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:35.017210
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:35.389866
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:35.782039
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.47,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:36.252639
0.0,0.0,0.0,0.0,1.0,0.78,5.08,3.29,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:36.737836
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:37.139272
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:37.540015
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.47,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:38.072654
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:38.441835
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.2,14:03:38.827045
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.2,14:03:39.205201
0.0,0.0,0.0,0.0,1.0,0.78,5.08,3.29,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12000.0,17.0,356.1,-4.2,14:03:39.643848
0.0,0.0,0.0,0.0,1.0,0.78,5.08,3.29,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.2,14:03:40.007255
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.2,14:03:40.445184
0.0,0.0,0.0,0.0,1.0,0.78,5.08,3.29,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:41.045835
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:41.509562
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.47,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:41.910377
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12000.0,17.0,356.1,-4.0,14:03:42.295075
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:42.711363
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,0.0,12100.0,17.0,356.1,-4.0,14:03:43.095851
0.0,0.0,0.0,0.0,1.0,0.78,5.08,3.29,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:43.634241
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:44.040929
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:44.451321
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12000.0,17.0,356.1,-4.0,14:03:44.847913
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:45.274215
