скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,time
0.46,0.44,2021.0,4057.0,13:20:09.477624
0.46,0.52,4053.0,2012.0,13:20:09.878487
0.65,0.65,4051.0,2015.0,13:20:10.281765
0.77,0.75,4056.0,4063.0,13:20:10.663488
0.75,0.71,2020.0,4058.0,13:20:11.081509
0.68,0.65,2027.0,4060.0,13:20:11.483112
0.53,0.56,4050.0,2014.0,13:20:11.884335
0.41,0.41,4061.0,2022.0,13:20:12.285082
0.31,0.31,4055.0,2014.0,13:20:12.701362
0.31,0.23,2020.0,4061.0,13:20:13.102379
0.15,0.16,4054.0,4059.0,13:20:13.503264
0.15,0.0,2025.0,2017.0,13:20:13.910696
0.37,0.32,2028.0,2017.0,13:20:14.295081
0.6,0.67,4052.0,2019.0,13:20:14.684210
0.79,0.85,4047.0,4058.0,13:20:15.063955
0.85,0.9,4050.0,2019.0,13:20:15.453297
0.95,1.03,2019.0,4065.0,13:20:15.839232
0.91,0.97,2024.0,2023.0,13:20:16.240166
0.75,0.81,2020.0,2019.0,13:20:16.656756
0.62,0.64,2023.0,4054.0,13:20:17.042118
0.55,0.55,4055.0,2018.0,13:20:17.443205
0.49,0.52,2022.0,4049.0,13:20:17.844674
0.58,0.58,4058.0,2021.0,13:20:18.245972
0.56,0.56,2028.0,4064.0,13:20:18.647524
0.52,0.53,2012.0,4061.0,13:20:19.048955
0.36,0.38,2019.0,4053.0,13:20:19.450349
0.21,0.22,4053.0,2018.0,13:20:19.851475
0.16,0.15,4057.0,2011.0,13:20:20.267580
0.0,0.0,4059.0,2016.0,13:20:20.668387
0.0,0.0,4054.0,2012.0,13:20:21.080203
0.0,0.0,2017.0,4056.0,13:20:21.490394
0.0,0.0,2016.0,4059.0,13:20:21.888314
0.0,0.0,4057.0,2019.0,13:20:22.284292
0.24,0.22,4056.0,2011.0,13:20:22.682069
0.43,0.42,4055.0,2020.0,13:20:23.097955
0.62,0.61,2016.0,4055.0,13:20:23.489468
0.71,0.7,2027.0,4065.0,13:20:23.874682
0.82,0.83,2022.0,4065.0,13:20:24.260690
0.94,0.96,2018.0,4066.0,13:20:24.662395
0.9,0.91,2025.0,4063.0,13:20:25.063693
1.01,1.05,4049.0,2020.0,13:20:25.465094
1.03,1.04,2019.0,4055.0,13:20:25.866505
0.86,0.85,4056.0,2021.0,13:20:26.267864
0.85,0.88,2023.0,4059.0,13:20:26.669304
0.93,0.92,2030.0,2077.0,13:20:27.070878
0.71,0.71,2018.0,4063.0,13:20:27.472373
0.36,0.41,2021.0,4059.0,13:20:27.888870
0.35,0.19,4052.0,2020.0,13:20:28.290262
0.15,0.15,4055.0,2018.0,13:20:28.690533
0.0,0.0,4051.0,2020.0,13:20:29.076584
0.0,0.0,2017.0,2016.0,13:20:29.478265
0.0,0.0,2019.0,2016.0,13:20:29.880000
0.0,0.0,2020.0,2007.0,13:20:30.281670
0.0,0.0,2010.0,4063.0,13:20:30.683082
0.49,0.57,4062.0,4065.0,13:20:31.084618
0.82,0.84,2026.0,4064.0,13:20:31.486113
0.8,0.82,2024.0,4064.0,13:20:31.902762
0.64,0.67,2020.0,4079.0,13:20:32.288505
0.58,0.58,4054.0,2018.0,13:20:32.689629
0.58,0.61,2024.0,4058.0,13:20:33.106331
0.53,0.52,4054.0,2025.0,13:20:33.491405
0.44,0.47,2023.0,4067.0,13:20:33.909460
0.35,0.34,4054.0,4063.0,13:20:34.309340
0.35,0.38,2027.0,4056.0,13:20:34.710705
0.16,0.16,4055.0,2011.0,13:20:35.111626
0.15,0.15,4054.0,2017.0,13:20:35.497386
0.0,0.0,4046.0,2019.0,13:20:35.899068
0.0,0.0,4052.0,2010.0,13:20:36.300197
0.0,0.0,4064.0,2018.0,13:20:36.716625
0.0,0.0,4064.0,2025.0,13:20:37.102494
0.0,0.0,4055.0,2020.0,13:20:37.505128
0.0,0.0,4051.0,2014.0,13:20:37.903178
0.0,0.0,4058.0,2019.0,13:20:38.301644
0.0,0.0,4049.0,2018.0,13:20:38.700872
0.0,0.0,4045.0,2020.0,13:20:39.117651
0.0,0.0,4046.0,2019.0,13:20:39.503214
0.0,0.0,4057.0,2018.0,13:20:39.904662
0.0,0.0,4047.0,2019.0,13:20:40.306158
0.0,0.0,4052.0,2016.0,13:20:40.723180
0.0,0.0,4053.0,2020.0,13:20:41.123991
0.0,0.0,4053.0,2009.0,13:20:41.509712
0.0,0.0,4054.0,2020.0,13:20:41.911207
0.0,0.0,4055.0,2028.0,13:20:42.312834
0.0,0.0,4056.0,2017.0,13:20:42.714610
0.0,0.0,4056.0,2020.0,13:20:43.115444
0.0,0.0,4061.0,2029.0,13:20:43.534071
0.0,0.0,4052.0,2023.0,13:20:43.948320
0.0,0.0,4058.0,2025.0,13:20:44.345347
0.0,0.0,4060.0,2018.0,13:20:44.742766
0.0,0.0,4049.0,2016.0,13:20:45.140006
0.0,0.0,4051.0,2019.0,13:20:45.552626
0.0,0.0,4060.0,2019.0,13:20:45.953564
0.0,0.0,4064.0,2010.0,13:20:46.339235
0.0,0.0,4054.0,2011.0,13:20:46.740434
0.0,0.0,4058.0,2024.0,13:20:47.125879
0.0,0.0,4055.0,2013.0,13:20:47.512489
