скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,time
0.0,0.0,2023.0,4055.0,14:46:58.640282
0.0,0.17,2010.0,4057.0,14:46:59.041591
0.0,0.0,2029.0,2029.0,14:46:59.443533
0.0,0.0,2016.0,2014.0,14:46:59.845171
0.0,0.0,2022.0,2018.0,14:47:00.229281
0.0,0.0,2031.0,2024.0,14:47:00.615220
0.0,0.0,2041.0,2017.0,14:47:01.019765
0.2,0.22,2022.0,2006.0,14:47:01.423476
1.12,1.23,4056.0,4067.0,14:47:01.825311
1.7,1.9,4068.0,4052.0,14:47:02.242287
2.28,2.68,2019.0,2016.0,14:47:02.653415
2.94,3.09,4058.0,4058.0,14:47:03.050822
3.26,3.59,2017.0,4058.0,14:47:03.450158
3.83,4.29,4052.0,2017.0,14:47:03.847172
4.53,5.0,4038.0,2003.0,14:47:04.244878
5.44,5.58,2000.0,4057.0,14:47:04.644164
6.47,6.77,4036.0,2007.0,14:47:05.042794
6.92,7.1,4069.0,1996.0,14:47:05.439435
7.03,6.9,2004.0,4069.0,14:47:05.838705
7.37,7.46,2031.0,4049.0,14:47:06.255965
7.74,7.55,4064.0,4063.0,14:47:06.654513
8.12,8.16,2567.0,4068.0,14:47:07.053015
8.68,8.55,2017.0,2024.0,14:47:07.450733
9.04,9.01,4042.0,4072.0,14:47:07.847333
9.52,9.27,4061.0,4052.0,14:47:08.245034
9.74,9.59,2016.0,2007.0,14:47:08.643851
10.31,9.93,2022.0,2020.0,14:47:09.041571
10.68,10.61,2026.0,2007.0,14:47:09.440638
11.04,10.91,2024.0,4076.0,14:47:09.837187
11.49,11.48,2034.0,2025.0,14:47:10.235644
11.62,11.72,4031.0,4064.0,14:47:10.634586
12.08,11.87,2020.0,2023.0,14:47:11.031794
12.39,12.56,2033.0,2023.0,14:47:11.428092
12.56,12.56,4066.0,2090.0,14:47:11.823938
12.92,12.49,2020.0,4062.0,14:47:12.230294
13.51,13.17,2028.0,2013.0,14:47:12.632340
14.17,13.95,2020.0,2024.0,14:47:13.033887
15.11,15.01,4037.0,2009.0,14:47:13.433363
16.32,16.26,4050.0,4058.0,14:47:13.820292
17.26,17.16,4061.0,2014.0,14:47:14.237697
17.88,17.97,2003.0,2024.0,14:47:14.623178
18.52,18.75,4063.0,2010.0,14:47:15.039890
19.06,19.15,4057.0,4067.0,14:47:15.425500
19.09,19.23,2015.0,2004.0,14:47:15.826905
18.44,18.52,2019.0,3455.0,14:47:16.228719
17.9,17.95,4047.0,4062.0,14:47:16.629753
17.24,17.3,4051.0,2076.0,14:47:17.031300
16.82,16.86,2014.0,4057.0,14:47:17.447760
16.12,16.16,2008.0,4063.0,14:47:17.833495
15.35,15.38,4047.0,4074.0,14:47:18.250441
14.25,14.24,2024.0,4076.0,14:47:18.636765
12.01,12.2,4044.0,2007.0,14:47:19.037977
9.66,9.7,4066.0,2007.0,14:47:19.428830
7.99,8.09,2022.0,4057.0,14:47:19.827216
6.47,6.44,4054.0,2012.0,14:47:20.228468
4.74,4.89,4070.0,2030.0,14:47:20.629105
3.38,3.57,4059.0,1997.0,14:47:21.029950
2.48,2.5,2020.0,4057.0,14:47:21.430838
1.99,2.04,4053.0,2014.0,14:47:21.831577
