скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,положение рейки перед,ток рейки перед,положение рейки зад,ток рейки зад,time
0.0,0.0,2027.0,2015.0,-9.0,19900.0,0.0,-890.0,14:36:28.255684
0.0,0.0,2026.0,2011.0,-9.0,19900.0,0.0,-840.0,14:36:28.657625
0.0,0.0,2022.0,2009.0,-9.0,20100.0,0.0,-990.0,14:36:29.070597
0.0,0.0,2025.0,2008.0,-9.0,19800.0,0.0,-780.0,14:36:29.476097
0.0,0.0,2025.0,2008.0,-9.0,19800.0,0.0,-990.0,14:36:29.884194
0.0,0.0,2027.0,2013.0,-9.0,19900.0,0.0,-1010.0,14:36:30.291739
0.0,0.0,2023.0,2008.0,-9.0,19900.0,0.0,-620.0,14:36:30.698894
0.0,0.0,2025.0,2007.0,-9.0,19900.0,0.0,-1090.0,14:36:31.106083
0.0,0.0,2024.0,2005.0,-9.0,19900.0,0.0,-820.0,14:36:31.508673
