скорость ПП колеса,скорость ПЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,напряжение ТАБ высокое ,ток батареи ТАБ,time
4.47,4.47,2.0,2.34,5.08,2.2,42.5,33.75,875.84,0.0,351.7,-4.4,15:33:24.821539
4.25,4.24,2.0,2.34,5.08,2.2,42.5,33.75,835.4,0.0,351.7,-4.4,15:33:25.246516
4.24,4.15,4.0,3.12,5.08,3.29,42.5,33.75,822.01,0.0,351.7,-4.4,15:33:25.684151
4.22,4.26,4.0,3.91,10.16,2.61,42.5,33.75,831.3,0.0,351.7,-4.4,15:33:26.167832
4.1,4.1,4.0,3.91,10.16,3.29,42.5,33.75,821.36,0.0,351.7,-4.4,15:33:26.604421
4.02,4.07,4.36,4.69,10.16,2.61,42.5,33.75,804.95,0.0,351.7,-4.4,15:33:27.040631
4.04,4.04,5.0,4.69,10.16,3.29,42.5,33.75,798.33,0.0,351.7,-4.4,15:33:27.476125
4.03,4.11,6.0,5.47,10.16,3.43,42.5,33.75,802.3,0.01,351.7,-4.4,15:33:27.913215
4.07,4.06,7.0,6.25,15.23,3.84,42.5,33.75,804.37,0.01,351.7,-4.4,15:33:28.348868
4.1,4.13,6.0,6.25,15.23,3.84,42.5,33.75,815.55,0.01,351.7,-4.4,15:33:28.786321
4.2,4.22,6.0,5.47,10.16,3.43,42.5,33.75,821.29,0.01,351.7,-4.4,15:33:29.222947
4.13,4.32,3.0,2.34,5.08,2.61,42.5,33.75,831.72,0.0,351.7,-4.4,15:33:29.659764
4.04,4.3,4.0,3.91,10.16,3.29,42.5,33.75,818.05,0.0,351.7,-4.4,15:33:30.096623
3.95,4.13,5.0,3.91,10.16,3.29,42.5,33.75,803.87,0.0,351.7,-4.4,15:33:30.534683
3.94,4.07,5.0,4.69,10.16,2.61,42.5,33.75,789.87,0.0,351.7,-4.4,15:33:30.973308
3.83,4.09,5.81,4.69,10.16,3.29,42.5,33.75,791.0,0.0,351.7,-4.4,15:33:31.408782
3.88,3.96,5.0,4.69,10.16,3.29,42.5,33.75,777.03,0.0,351.7,-4.4,15:33:31.892675
3.9,3.93,6.0,4.69,10.16,3.29,42.5,33.75,770.72,0.01,351.7,-4.4,15:33:32.343364
3.87,3.95,6.0,6.25,15.23,3.43,42.5,33.75,769.01,0.01,351.7,-4.4,15:33:32.839900
3.88,3.97,6.0,5.47,10.16,3.43,42.5,33.75,774.81,0.01,351.7,-4.4,15:33:33.278085
3.85,4.13,6.0,5.47,10.16,3.43,42.5,33.75,778.12,0.01,351.7,-4.4,15:33:33.717186
3.87,3.82,6.0,5.47,10.16,3.43,41.25,33.75,771.3,0.01,351.6,-4.7,15:33:34.152257
3.88,3.83,6.0,5.47,15.23,3.43,41.25,33.75,760.63,0.01,351.6,-4.7,15:33:34.650209
3.78,3.82,6.12,5.47,10.16,3.43,42.5,33.75,760.63,0.01,351.6,-4.7,15:33:35.134851
3.91,3.98,7.0,6.25,15.23,3.43,42.5,33.75,772.19,0.01,351.6,-4.7,15:33:35.571472
