скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,time
0.0,0.0,4050.0,2023.0,14:41:09.496040
0.0,0.0,4047.0,2017.0,14:41:10.694341
0.0,0.0,4044.0,2016.0,14:41:11.882103
0.0,0.0,4039.0,2015.0,14:41:13.085430
0.0,0.0,4040.0,2024.0,14:41:14.266631
0.0,0.0,4046.0,2022.0,14:41:14.671894
0.0,0.0,4047.0,2016.0,14:41:15.052333
0.0,0.0,4047.0,2013.0,14:41:15.437541
0.0,0.0,4047.0,2015.0,14:41:15.807360
0.0,0.0,4048.0,2019.0,14:41:16.192910
0.0,0.0,4054.0,2014.0,14:41:16.594069
0.0,0.0,4046.0,2022.0,14:41:16.973042
0.0,0.0,4050.0,2016.0,14:41:17.374113
0.0,0.0,4051.0,2021.0,14:41:17.777700
0.0,0.0,4054.0,2028.0,14:41:18.176453
0.0,0.0,4047.0,2030.0,14:41:18.577598
0.0,0.0,4045.0,2020.0,14:41:18.978758
0.0,0.0,4054.0,2017.0,14:41:19.379839
0.0,0.0,4047.0,2016.0,14:41:19.782477
0.0,0.0,4045.0,2024.0,14:41:20.182145
0.0,0.0,4048.0,2022.0,14:41:20.583286
0.0,0.0,4052.0,2018.0,14:41:20.984417
0.0,0.0,4041.0,2027.0,14:41:21.385627
0.0,0.0,4044.0,2019.0,14:41:21.788797
0.0,0.0,4047.0,2021.0,14:41:22.188235
0.0,0.0,4055.0,2013.0,14:41:22.589163
0.0,0.0,4047.0,2018.0,14:41:22.990142
0.0,0.0,4046.0,2012.0,14:41:23.413112
0.0,0.0,4043.0,2021.0,14:41:23.793742
0.0,0.0,4044.0,2018.0,14:41:24.195031
0.0,0.0,4047.0,2034.0,14:41:24.616716
0.0,0.0,4050.0,2021.0,14:41:24.995808
0.0,0.0,4051.0,2024.0,14:41:25.397029
0.0,0.0,4047.0,2025.0,14:41:25.799585
0.0,0.0,4051.0,2023.0,14:41:26.221346
0.0,0.0,4049.0,2025.0,14:41:26.622132
0.0,0.0,4052.0,2020.0,14:41:27.023260
0.0,0.0,4052.0,2024.0,14:41:27.419708
0.0,0.0,4056.0,2022.0,14:41:27.829777
0.0,0.0,4046.0,2015.0,14:41:28.215275
0.0,0.0,4052.0,2022.0,14:41:28.600817
0.0,0.0,4056.0,2019.0,14:41:29.001941
0.0,0.0,4046.0,2020.0,14:41:29.403080
0.0,0.0,4048.0,2022.0,14:41:29.800186
0.0,0.0,4041.0,2014.0,14:41:30.213544
0.0,0.0,4048.0,2020.0,14:41:30.637671
0.0,0.0,4041.0,2018.0,14:41:31.052891
0.0,0.0,4048.0,2019.0,14:41:31.456914
0.0,0.0,4048.0,2022.0,14:41:31.865818
0.0,0.0,4037.0,2013.0,14:41:32.266966
0.0,0.0,4047.0,2019.0,14:41:32.664788
0.0,0.0,4055.0,2012.0,14:41:33.082313
0.0,0.0,4050.0,2019.0,14:41:33.483808
0.0,0.0,4046.0,2019.0,14:41:33.922154
0.0,0.0,4048.0,2017.0,14:41:34.307657
0.0,0.0,4046.0,2018.0,14:41:34.706521
0.0,0.0,4047.0,2021.0,14:41:35.089166
0.0,0.0,4053.0,2021.0,14:41:35.490316
0.0,0.0,4052.0,2027.0,14:41:35.875700
0.0,0.0,4051.0,2021.0,14:41:36.276384
0.0,0.0,4046.0,2018.0,14:41:36.682380
0.0,0.0,4056.0,2013.0,14:41:37.086893
0.0,0.0,4054.0,2018.0,14:41:37.492714
0.0,0.0,4049.0,2023.0,14:41:37.899379
0.0,0.0,4058.0,2024.0,14:41:38.305342
0.0,0.0,4048.0,2025.0,14:41:38.690075
0.0,0.0,4055.0,2017.0,14:41:39.079397
0.0,0.0,2013.0,4068.0,14:41:39.464947
0.18,0.18,4051.0,2021.0,14:41:39.850489
0.54,0.56,2023.0,4064.0,14:41:40.251472
0.93,0.95,2015.0,4065.0,14:41:40.652759
1.03,1.05,2022.0,4070.0,14:41:41.053909
1.22,1.22,2014.0,4055.0,14:41:41.455091
1.39,1.38,2018.0,4063.0,14:41:41.856440
1.81,1.84,2017.0,4058.0,14:41:42.257490
1.96,2.04,2016.0,4057.0,14:41:42.658982
1.97,2.09,4047.0,2019.0,14:41:43.059745
1.89,1.93,4051.0,4061.0,14:41:43.460714
1.8,1.74,2016.0,4062.0,14:41:43.861772
1.86,1.76,2020.0,2015.0,14:41:44.263150
1.75,1.85,2022.0,4063.0,14:41:44.664426
1.75,1.82,4051.0,4071.0,14:41:45.065638
1.86,1.78,4048.0,4063.0,14:41:45.467849
1.89,1.82,4054.0,4065.0,14:41:45.860687
1.93,1.82,2018.0,2016.0,14:41:46.246592
1.86,1.96,4043.0,2005.0,14:41:46.647735
1.88,1.98,2022.0,2018.0,14:41:47.032715
1.76,1.88,4047.0,4062.0,14:41:47.434091
1.23,1.16,2015.0,4057.0,14:41:47.834965
0.79,0.78,4052.0,4063.0,14:41:48.235885
0.79,0.85,4045.0,4061.0,14:41:48.633761
1.04,0.97,2016.0,4060.0,14:41:49.032819
1.34,1.4,4047.0,4069.0,14:41:49.418630
1.59,1.58,4053.0,4057.0,14:41:49.819400
1.52,1.57,4045.0,4067.0,14:41:50.205115
1.48,1.38,2024.0,4056.0,14:41:50.590703
1.27,1.42,2022.0,2015.0,14:41:50.976893
1.36,1.28,2017.0,4058.0,14:41:51.378059
1.27,1.41,4048.0,4061.0,14:41:51.779815
1.46,1.43,4046.0,4059.0,14:41:52.181140
1.58,1.56,4051.0,4058.0,14:41:52.582240
1.65,1.77,4050.0,2018.0,14:41:52.998533
1.74,1.94,4047.0,4063.0,14:41:53.383431
1.78,1.76,2016.0,4061.0,14:41:53.800152
1.52,1.71,2015.0,4064.0,14:41:54.186535
1.58,1.55,2020.0,4057.0,14:41:54.588199
1.78,1.76,4050.0,2015.0,14:41:54.968363
1.75,1.67,2018.0,4059.0,14:41:55.365261
1.81,1.8,2022.0,4063.0,14:41:55.767755
1.79,1.82,2021.0,2017.0,14:41:56.151007
1.95,2.0,2026.0,2013.0,14:41:56.537556
