скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,time
0.0,0.0,2022.0,2015.0,13:07:34.267066
0.0,0.0,2024.0,2012.0,13:07:34.569623
0.0,0.0,2034.0,2022.0,13:07:34.870480
0.0,0.0,2030.0,2020.0,13:07:35.156085
0.0,0.0,2028.0,2022.0,13:07:35.457410
0.0,0.0,2036.0,2020.0,13:07:35.758590
0.0,0.0,2025.0,2017.0,13:07:36.059722
0.0,0.0,2033.0,2012.0,13:07:36.375584
0.0,0.0,2024.0,2024.0,13:07:36.676741
0.0,0.0,2023.0,2018.0,13:07:36.962120
0.0,0.0,2026.0,2014.0,13:07:37.278680
0.0,0.0,2034.0,2023.0,13:07:37.579075
0.0,0.0,4077.0,4074.0,13:07:37.879886
0.0,0.0,4063.0,4073.0,13:07:38.180617
0.0,0.0,4071.0,4075.0,13:07:38.481805
0.0,0.0,4075.0,4076.0,13:07:38.797818
0.0,0.0,4073.0,4095.0,13:07:39.098609
0.0,0.0,2025.0,2021.0,13:07:39.399550
0.36,0.2,4071.0,4074.0,13:07:39.684706
0.31,0.37,2028.0,4064.0,13:07:39.985489
0.42,0.41,2029.0,4068.0,13:07:40.286299
0.39,0.4,2031.0,2021.0,13:07:40.587306
0.36,0.38,4071.0,2023.0,13:07:40.888116
0.39,0.34,2030.0,4070.0,13:07:41.173268
0.32,0.34,2026.0,2028.0,13:07:41.474299
0.28,0.27,4076.0,4077.0,13:07:41.774968
0.31,0.3,2038.0,4074.0,13:07:42.076036
0.3,0.33,4071.0,2022.0,13:07:42.380136
0.37,0.39,4077.0,2026.0,13:07:42.696575
0.42,0.44,4071.0,4075.0,13:07:42.997253
0.47,0.5,4070.0,4072.0,13:07:43.282723
0.5,0.47,2026.0,4077.0,13:07:43.583816
0.41,0.39,2030.0,4073.0,13:07:43.899805
0.26,0.36,4055.0,4076.0,13:07:44.200429
0.25,0.2,4068.0,2025.0,13:07:44.501297
0.17,0.16,2023.0,2011.0,13:07:44.786633
0.15,0.15,2028.0,4068.0,13:07:45.103139
0.0,0.0,2026.0,4072.0,13:07:45.404116
0.0,0.0,4068.0,4081.0,13:07:45.705535
