скорость ПП колеса,скорость ПЛ колеса,скорость ЗП колеса,скорость ЗЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,положение рейки перед,ток рейки перед,температура рейки перед,положение рейки зад,ток рейки зад,температура рейки зад,напряжение ТАБ высокое ,ток батареи ТАБ,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,-30.0,3.0,-81.0,0.0,6.0,357.3,-1.5,12:47:38.211222
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,30.0,3.0,-81.0,0.0,6.0,357.3,-1.5,12:47:39.501261
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,-10.0,3.0,-81.0,0.0,6.0,357.3,-1.5,12:47:40.771672
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,20.0,3.0,-81.0,0.0,6.0,357.3,-1.5,12:47:42.020452
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,-50.0,3.0,-81.0,0.0,6.0,357.3,-1.5,12:47:43.275582
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,40.0,3.0,-81.0,0.0,7.0,357.4,-1.6,12:47:44.524331
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,40.0,3.0,-81.0,0.0,6.0,357.4,-1.6,12:47:45.795971
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,-20.0,3.0,-81.0,0.0,6.0,357.4,-1.6,12:47:47.044457
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,0.0,3.0,-81.0,0.0,6.0,357.4,-1.6,12:47:48.302529
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,30.0,3.0,-81.0,0.0,6.0,357.4,-1.6,12:47:48.672416
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,50.0,3.0,-81.0,0.0,6.0,357.4,-1.6,12:47:49.051620
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,40.0,3.0,-81.0,0.0,6.0,357.4,-1.3,12:47:49.420266
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,104.0,50.0,3.0,-81.0,0.0,6.0,357.4,-1.3,12:47:49.790122
