скорость ПП колеса,скорость ПЛ колеса,скорость ЗП колеса,скорость ЗЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,положение рейки перед,ток рейки перед,температура рейки перед,положение рейки зад,ток рейки зад,температура рейки зад,напряжение ТАБ высокое ,ток батареи ТАБ,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,26.25,0.0,0.0,38.0,110.0,5.0,-18.0,0.0,9.0,357.3,-3.8,12:40:23.438505
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,33.75,26.25,0.0,0.0,158.0,5110.0,6.0,-135.0,3500.0,9.0,357.3,-3.8,12:40:24.710022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,33.75,26.25,0.0,0.0,161.0,20090.0,5.0,-153.0,0.0,9.0,357.3,-3.8,12:40:26.013096
0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.27,33.75,26.25,0.0,0.0,137.0,12060.0,5.0,-362.0,13700.0,9.0,357.3,-3.8,12:40:27.316364
0.0,0.0,0.15,0.0,3.0,7.81,20.31,3.29,33.75,26.25,0.0,0.0,171.0,-970.0,5.0,-3.0,13500.0,9.0,357.3,-3.8,12:40:28.674117
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,33.75,26.25,0.0,0.0,34.0,-15720.0,5.0,-3.0,13800.0,9.0,357.2,-3.5,12:40:30.022454
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.27,33.75,26.25,0.0,0.0,14.0,-17120.0,6.0,26.0,13600.0,9.0,357.2,-3.5,12:40:31.322476
0.29,0.26,0.22,0.27,15.0,15.62,35.55,7.55,33.75,26.25,45.97,0.0,4.0,-12310.0,5.0,31.0,10100.0,9.0,357.2,-3.5,12:40:32.586404
1.6,1.6,1.59,1.58,9.0,8.59,20.31,4.94,33.75,26.25,297.4,0.0,11.0,2280.0,5.0,27.0,2800.0,9.0,356.9,-3.5,12:40:33.925723
2.14,2.09,2.04,2.04,12.0,11.72,20.31,5.9,33.75,26.25,401.5,0.01,11.0,4040.0,5.0,27.0,2600.0,9.0,357.0,-5.7,12:40:35.206653
2.55,2.55,2.51,2.53,9.0,8.59,15.23,4.25,33.75,26.25,507.28,0.01,11.0,2980.0,5.0,27.0,2400.0,9.0,357.0,-5.7,12:40:36.477595
2.79,2.82,2.8,2.8,10.0,9.38,20.31,4.53,33.75,26.25,552.64,0.01,12.0,2470.0,5.0,26.0,2400.0,9.0,357.0,-5.7,12:40:37.733350
3.14,3.0,2.9,3.11,9.0,8.59,15.23,4.25,33.75,26.25,603.09,0.01,-157.0,1090.0,5.0,101.0,9700.0,9.0,357.0,-5.7,12:40:39.050766
3.19,3.38,3.44,2.98,8.0,7.81,15.23,3.29,33.75,26.25,631.59,0.01,243.0,6610.0,5.0,-265.0,12000.0,9.0,357.0,-5.7,12:40:40.467479
3.63,3.25,3.3,3.48,9.0,7.81,15.23,4.25,33.75,26.25,631.59,0.01,-70.0,-6770.0,5.0,163.0,7100.0,9.0,357.0,-5.7,12:40:41.801310
3.42,3.58,3.55,3.28,8.0,7.81,15.23,4.53,33.75,26.25,691.79,0.01,-113.0,8600.0,5.0,-91.0,9700.0,9.0,357.0,-5.7,12:40:43.088886
3.55,3.52,3.51,3.46,8.0,7.81,15.23,4.25,33.75,26.25,704.85,0.01,41.0,460.0,5.0,7.0,5200.0,9.0,357.0,-5.7,12:40:44.360136
3.46,3.4,3.38,3.41,7.0,6.25,15.23,3.29,33.75,26.25,680.39,0.01,9.0,-2630.0,5.0,28.0,3400.0,9.0,357.0,-5.7,12:40:45.648970
3.18,3.5,3.46,3.07,7.0,6.25,15.23,4.25,33.75,26.25,648.94,0.01,314.0,2020.0,5.0,-289.0,6000.0,9.0,357.0,-5.7,12:40:46.928988
3.24,3.16,3.15,3.15,8.0,7.81,15.23,4.25,33.75,26.25,618.81,0.01,9.0,1260.0,5.0,26.0,5500.0,9.0,357.0,-5.7,12:40:48.188084
3.45,3.41,3.36,3.36,8.0,7.81,15.23,3.29,33.75,26.25,679.37,0.01,11.0,4180.0,5.0,27.0,5600.0,9.0,357.0,-5.7,12:40:49.454890
3.58,3.37,3.42,3.45,8.0,7.81,15.23,3.29,33.75,26.25,678.4,0.01,-70.0,-690.0,5.0,26.0,4600.0,9.0,357.0,-5.7,12:40:50.755213
3.69,3.69,3.67,3.67,9.0,9.38,20.31,4.53,33.75,26.25,732.33,0.01,12.0,4790.0,5.0,26.0,3700.0,9.0,357.0,-5.7,12:40:52.021616
3.84,3.72,3.76,3.76,7.0,6.25,15.23,4.25,33.75,26.25,747.11,0.01,12.0,2640.0,5.0,26.0,3700.0,9.0,357.0,-5.7,12:40:53.287458
3.79,3.77,3.76,3.77,8.0,7.81,15.23,4.25,33.75,26.25,753.58,0.01,12.0,680.0,5.0,26.0,3600.0,9.0,357.0,-5.7,12:40:54.568547
3.84,3.73,3.72,3.72,7.81,6.25,15.23,3.29,33.75,26.25,744.35,0.01,12.0,-350.0,5.0,26.0,3500.0,9.0,357.0,-5.7,12:40:55.894297
3.74,3.76,3.74,3.76,8.0,8.59,15.23,4.53,33.75,26.25,745.67,0.01,11.0,-30.0,5.0,26.0,3500.0,9.0,357.0,-5.7,12:40:57.212751
3.9,3.91,3.84,3.84,7.0,6.25,15.23,3.29,33.75,26.25,785.04,0.01,11.0,1450.0,5.0,26.0,3000.0,9.0,357.0,-5.7,12:40:58.514404
3.67,3.68,3.69,3.73,7.0,6.25,15.23,3.29,33.75,26.25,735.26,0.01,10.0,-60.0,5.0,26.0,3500.0,9.0,356.7,-6.2,12:40:59.800846
3.67,3.59,3.57,3.6,8.0,7.81,15.23,4.25,33.75,26.25,719.68,0.01,11.0,150.0,5.0,26.0,3700.0,9.0,356.7,-6.2,12:41:01.080858
3.85,3.72,3.69,3.72,9.0,8.59,15.23,4.25,33.75,26.25,739.3,0.01,10.0,720.0,5.0,26.0,3500.0,9.0,356.6,-6.3,12:41:02.320190
3.98,3.96,3.94,3.95,8.0,7.81,15.23,4.25,33.75,26.25,782.85,0.01,10.0,1560.0,5.0,26.0,3600.0,9.0,356.6,-6.3,12:41:03.622710
4.06,4.03,4.0,4.04,7.0,6.25,15.23,4.53,33.75,26.25,805.02,0.01,10.0,880.0,5.0,26.0,3500.0,9.0,356.6,-6.3,12:41:04.988974
4.12,3.99,4.0,4.03,6.0,5.47,10.16,3.29,33.75,26.25,798.54,0.01,16.0,-30.0,5.0,22.0,3400.0,9.0,356.6,-6.7,12:41:06.276266
4.07,3.99,3.98,4.01,6.0,5.47,10.16,3.29,33.75,26.25,795.04,0.01,19.0,-840.0,5.0,24.0,4200.0,9.0,356.6,-6.7,12:41:07.530979
3.92,3.94,3.93,3.93,6.0,5.47,10.16,3.29,33.75,26.25,780.72,0.01,12.0,4450.0,5.0,27.0,5100.0,9.0,356.6,-6.7,12:41:08.796819
3.84,3.86,3.82,3.85,6.06,5.47,10.16,3.29,33.75,26.25,773.63,0.01,12.0,4710.0,5.0,27.0,5100.0,9.0,356.6,-6.7,12:41:10.121341
3.8,3.64,3.59,3.63,8.0,7.81,15.23,3.29,33.75,26.25,730.69,0.01,12.0,4660.0,5.0,27.0,5200.0,9.0,356.6,-6.8,12:41:11.385579
4.15,4.07,4.04,4.05,7.0,6.25,15.23,4.25,33.75,26.25,804.16,0.01,12.0,4730.0,5.0,27.0,5100.0,9.0,356.6,-6.8,12:41:12.673325
4.27,4.1,4.14,4.2,7.0,6.25,15.23,3.29,33.75,26.25,831.43,0.01,12.0,4080.0,5.0,27.0,5100.0,9.0,356.6,-6.8,12:41:13.929890
4.56,4.43,4.43,4.42,7.0,6.25,15.23,3.29,33.75,26.25,870.38,0.01,12.0,4080.0,5.0,29.0,2500.0,9.0,356.5,-6.6,12:41:15.233798
4.64,4.55,4.51,4.45,5.0,4.69,10.16,3.29,33.75,26.25,899.26,0.01,61.0,5210.0,5.0,-17.0,3200.0,9.0,356.5,-6.6,12:41:16.514014
4.31,4.25,4.25,4.3,6.0,4.69,10.16,3.02,33.75,26.25,859.84,0.01,10.0,1090.0,5.0,27.0,5100.0,9.0,356.5,-6.6,12:41:17.785594
3.59,3.57,3.53,3.5,0.09,0.0,0.0,1.51,33.75,26.25,787.45,0.0,10.0,3680.0,5.0,28.0,5000.0,9.0,356.5,-6.6,12:41:19.055563
3.21,3.19,3.17,3.17,11.0,10.16,20.31,4.94,33.75,26.25,627.17,0.01,11.0,3440.0,5.0,28.0,5000.0,9.0,356.5,-6.7,12:41:20.342607
4.21,4.09,4.04,4.06,12.0,12.5,20.31,4.94,33.75,26.25,796.19,0.01,13.0,3440.0,5.0,27.0,4600.0,9.0,356.5,-6.7,12:41:21.692841
4.67,4.7,4.63,4.62,9.0,8.59,15.23,4.25,33.75,26.25,927.03,0.01,43.0,1350.0,5.0,-7.0,4200.0,9.0,356.5,-6.7,12:41:22.948484
4.7,4.71,4.66,4.69,0.0,0.0,0.0,2.75,33.75,26.25,927.83,0.0,10.0,1350.0,5.0,26.0,3700.0,9.0,356.5,-6.7,12:41:24.268142
