скорость ПП колеса,скорость ПЛ колеса,скорость ЗП колеса,скорость ЗЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,положение рейки перед,ток рейки перед,температура рейки перед,положение рейки зад,ток рейки зад,температура рейки зад,напряжение ТАБ высокое ,ток батареи ТАБ,time
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.0,14:03:53.721283
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12000.0,17.0,356.1,-4.2,14:03:54.166080
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.47,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12000.0,17.0,356.1,-4.2,14:03:54.532144
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12000.0,17.0,356.1,-4.2,14:03:54.908357
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17700.0,18.0,-1.0,12100.0,17.0,356.1,-4.2,14:03:55.294074
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17700.0,18.0,-1.0,12100.0,17.0,356.1,-4.1,14:03:55.747817
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.1,14:03:56.127045
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.1,14:03:56.565591
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.1,14:03:56.950548
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.1,14:03:57.351915
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12000.0,17.0,356.1,-4.4,14:03:57.752243
0.0,0.0,0.0,0.0,1.0,0.78,5.08,3.29,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:58.554119
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:58.970710
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.4,14:03:59.334231
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17900.0,18.0,-1.0,12100.0,17.0,356.1,-4.1,14:03:59.698578
0.0,0.0,0.0,0.0,1.0,0.78,5.08,2.2,35.0,28.75,0.0,0.0,1.0,17800.0,18.0,-1.0,12100.0,17.0,356.1,-4.1,14:04:00.237534
