скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,time
0.0,0.0,58.0,4061.0,13:01:25.244400
0.0,0.0,67.0,4051.0,13:01:25.546021
0.0,0.0,60.0,4060.0,13:01:25.847023
0.0,0.0,64.0,4053.0,13:01:26.148076
0.0,0.0,59.0,4052.0,13:01:26.448405
0.0,0.0,60.0,4061.0,13:01:26.749354
0.0,0.0,62.0,4061.0,13:01:27.050303
0.0,0.0,55.0,4066.0,13:01:27.335634
0.0,0.0,66.0,4056.0,13:01:27.651960
0.0,0.0,62.0,4063.0,13:01:27.937012
0.0,0.0,56.0,4062.0,13:01:28.238405
0.0,0.0,63.0,4052.0,13:01:28.539568
0.0,0.0,58.0,4059.0,13:01:28.855805
0.0,0.0,57.0,4055.0,13:01:29.156388
0.0,0.0,61.0,4063.0,13:01:29.441826
0.0,0.0,65.0,4056.0,13:01:29.758306
0.0,0.0,63.0,4071.0,13:01:30.043821
0.0,0.0,68.0,4065.0,13:01:30.360318
0.0,0.0,60.0,4055.0,13:01:30.661232
0.0,0.0,60.0,4058.0,13:01:30.946761
0.0,0.0,63.0,4063.0,13:01:31.263229
0.0,0.0,69.0,4059.0,13:01:31.564219
0.0,0.0,63.0,4062.0,13:01:31.865073
0.0,0.0,63.0,4055.0,13:01:32.166387
0.0,0.0,58.0,4063.0,13:01:32.451621
0.0,0.0,64.0,4058.0,13:01:32.752418
0.0,0.0,66.0,4062.0,13:01:33.054310
