скорость ПП колеса,скорость ПЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,напряжение ТАБ высокое ,ток батареи ТАБ,time
0.0,0.19,18.0,14.06,35.55,6.59,40.0,33.75,14.42,-0.0,352.0,-4.4,15:25:36.039722
0.0,0.0,20.0,19.53,45.7,8.78,40.0,33.75,53.21,0.0,352.0,-4.4,15:25:36.572158
0.48,0.61,23.0,23.44,55.86,11.53,40.0,33.75,128.04,0.0,352.0,-4.4,15:25:37.113605
1.3,1.83,13.0,12.5,25.39,6.59,40.0,33.75,272.93,0.0,352.0,-4.4,15:25:37.647105
1.25,1.83,15.0,13.28,25.39,5.49,40.0,33.75,315.28,0.01,352.0,-4.4,15:25:38.193924
1.4,1.97,19.0,17.19,35.55,7.14,40.0,33.75,329.22,0.01,352.0,-4.4,15:25:38.740551
1.7,2.33,20.0,19.53,35.55,7.14,40.0,33.75,386.06,0.01,352.0,-4.4,15:25:39.333121
2.07,2.88,20.0,19.53,35.55,8.1,40.0,33.75,466.17,0.01,352.0,-4.4,15:25:39.879222
2.34,3.35,19.0,18.75,35.55,6.73,40.0,33.75,540.89,0.01,352.0,-4.4,15:25:40.383202
2.66,3.55,20.0,19.53,35.55,6.73,40.0,33.75,604.01,0.01,352.0,-4.4,15:25:40.927827
2.99,4.05,20.0,19.53,35.55,8.1,40.0,33.75,688.57,0.02,352.0,-4.4,15:25:41.473554
3.44,4.85,18.0,17.19,30.47,6.73,40.0,33.75,796.43,0.02,350.9,-10.1,15:25:42.019226
4.21,5.42,13.0,12.5,25.39,5.49,40.0,33.75,936.0,0.01,350.9,-10.1,15:25:42.568959
4.21,5.45,9.0,8.59,15.23,3.84,40.0,33.75,1000.76,0.01,350.9,-10.1,15:25:43.163931
5.44,5.48,8.0,7.81,15.23,3.84,40.0,33.75,1059.94,0.01,350.9,-10.1,15:25:43.709314
6.08,5.44,6.0,5.47,10.16,3.43,40.0,33.75,1135.35,0.01,350.9,-10.1,15:25:44.256549
6.18,5.77,5.0,4.69,10.16,3.29,40.0,33.75,1156.3,0.01,350.9,-10.1,15:25:44.800167
6.39,5.6,5.0,4.69,10.16,3.29,40.0,33.75,1180.77,0.01,350.9,-10.1,15:25:45.347393
6.36,5.65,3.0,2.34,5.08,2.2,40.0,33.75,1190.49,0.0,351.6,-4.2,15:25:45.853852
5.99,5.71,-2.82,-0.78,5.08,1.65,41.25,33.75,1091.38,-0.0,351.6,-4.2,15:25:46.371951
5.22,4.77,-3.0,-3.91,10.16,3.29,41.25,33.75,1019.91,-0.0,351.6,-4.2,15:25:46.914267
4.83,4.3,0.0,-0.78,5.08,1.65,41.25,33.75,919.78,-0.0,351.6,-4.2,15:25:47.461906
4.11,4.01,0.0,0.0,0.0,0.14,41.25,33.75,832.69,0.0,351.6,-4.2,15:25:47.999372
3.82,3.8,7.0,5.47,10.16,3.29,41.25,33.75,837.19,0.01,351.6,-4.2,15:25:48.533696
3.91,3.95,7.0,7.81,15.23,3.84,41.25,33.75,765.78,0.01,351.6,-4.2,15:25:49.042749
4.22,4.25,7.0,6.25,15.23,3.43,40.0,33.75,825.77,0.01,351.6,-4.2,15:25:49.568121
4.2,4.16,6.0,5.47,10.16,3.29,40.0,33.75,838.51,0.01,351.7,-4.4,15:25:50.077815
4.44,4.36,7.0,6.25,15.23,3.43,40.0,33.75,865.45,0.01,351.7,-4.4,15:25:50.601720
4.54,4.56,4.0,5.47,10.16,3.29,40.0,33.75,888.75,0.0,351.7,-4.4,15:25:51.128720
4.65,4.68,6.0,5.47,10.16,3.29,40.0,33.75,919.27,0.01,351.7,-4.4,15:25:51.635674
4.82,4.88,6.0,5.47,10.16,3.29,40.0,33.75,942.59,0.01,351.7,-4.4,15:25:52.143706
4.96,5.0,4.0,3.91,10.16,3.29,40.0,33.75,981.48,0.0,351.7,-4.4,15:25:52.667948
4.98,4.93,3.0,2.34,5.08,2.2,40.0,33.75,985.2,0.0,351.8,-4.0,15:25:53.191947
5.03,4.92,4.0,4.69,10.16,2.2,40.0,33.75,982.66,0.01,351.8,-4.0,15:25:53.716946
4.96,5.02,4.0,3.91,10.16,2.61,40.0,33.75,985.4,0.0,351.8,-4.0,15:25:54.241945
5.12,4.99,3.0,2.34,5.08,2.2,40.0,33.75,999.41,0.0,351.8,-4.0,15:25:54.766948
4.96,5.07,2.0,1.56,5.08,2.61,41.25,33.75,987.04,0.0,351.8,-4.0,15:25:55.276989
4.77,4.74,0.0,0.0,0.0,0.55,41.25,33.75,866.89,0.0,351.8,-4.0,15:25:55.785095
4.56,4.46,1.78,0.78,5.08,1.65,41.25,33.75,897.68,0.0,352.0,-1.9,15:25:56.310225
4.35,4.42,4.0,2.34,5.08,3.29,41.25,33.75,922.06,0.0,352.0,-1.9,15:25:56.837226
4.37,4.4,6.0,5.47,10.16,3.29,41.25,33.75,893.52,0.01,352.0,-1.9,15:25:57.344994
4.56,4.45,7.0,6.25,15.23,3.84,41.25,33.75,881.71,0.01,352.0,-1.9,15:25:57.870494
4.7,4.65,7.0,6.25,15.23,3.84,41.25,33.75,919.75,0.01,352.0,-1.9,15:25:58.379858
4.78,4.8,7.0,6.25,15.23,3.84,41.25,33.75,946.31,0.01,352.0,-1.9,15:25:58.889856
4.97,4.84,8.0,7.81,15.23,3.84,41.25,33.75,973.28,0.01,352.0,-1.9,15:25:59.413985
