скорость ПП колеса,скорость ПЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,напряжение ТАБ высокое ,ток батареи ТАБ,time
4.87,5.1,8.0,7.81,15.23,3.84,41.25,33.75,983.03,0.01,352.0,-1.9,15:25:59.952609
5.01,5.01,8.0,7.81,15.23,3.84,40.0,33.75,993.08,0.01,352.0,-1.9,15:26:00.475583
5.05,4.95,8.0,7.81,15.23,3.84,40.0,33.75,1009.3,0.01,351.5,-6.4,15:26:01.012070
5.08,5.17,9.0,8.59,15.23,3.84,40.0,33.75,1010.8,0.01,351.5,-6.4,15:26:01.604466
5.15,5.03,8.0,8.59,15.23,3.84,40.0,33.75,1005.16,0.01,351.5,-6.4,15:26:02.150113
5.01,5.09,10.0,9.38,20.31,3.84,40.0,33.75,1003.27,0.01,351.5,-6.4,15:26:02.696003
5.13,5.13,10.12,10.16,20.31,4.94,40.0,33.75,1021.85,0.01,351.5,-6.4,15:26:03.243504
5.26,5.29,10.0,9.38,20.31,4.94,40.0,33.75,1045.01,0.01,351.5,-6.4,15:26:03.788650
5.42,5.4,8.0,7.81,15.23,4.94,40.0,33.75,1065.05,0.01,351.5,-6.4,15:26:04.332934
5.5,5.43,9.0,8.59,15.23,3.84,40.0,33.75,1082.93,0.01,351.5,-6.4,15:26:04.876448
5.54,5.76,9.0,8.59,15.23,4.94,40.0,33.75,1107.42,0.01,351.5,-6.4,15:26:05.408266
5.68,5.73,9.0,8.59,15.23,3.84,40.0,33.75,1125.11,0.01,351.5,-6.4,15:26:05.955170
5.75,5.78,7.0,6.25,15.23,3.84,40.0,33.75,1127.88,0.01,351.5,-6.4,15:26:06.500538
5.77,5.63,6.0,5.47,10.16,3.43,40.0,33.75,1123.68,0.01,351.3,-6.1,15:26:07.030167
5.57,5.5,6.0,5.47,10.16,3.43,40.0,33.75,1108.27,0.01,351.3,-6.1,15:26:07.550940
5.48,5.59,6.0,4.69,10.16,3.29,40.0,33.75,1078.12,0.01,351.3,-6.1,15:26:08.058642
5.26,5.22,7.0,6.25,15.23,3.43,40.0,33.75,1043.79,0.01,351.3,-6.1,15:26:08.589379
4.91,4.99,8.0,7.81,15.23,3.84,40.0,33.75,1009.1,0.01,351.3,-6.1,15:26:09.137151
4.9,4.98,8.0,7.81,15.23,3.84,40.0,33.75,982.22,0.01,351.3,-6.1,15:26:09.667702
4.91,4.86,8.0,7.81,15.23,3.84,40.0,33.75,965.83,0.01,351.3,-6.1,15:26:10.242892
4.93,4.78,8.0,7.81,15.23,3.84,40.0,33.75,959.78,0.01,351.3,-6.1,15:26:10.788275
4.8,4.79,9.0,7.81,15.23,3.84,40.0,33.75,956.1,0.01,351.3,-6.1,15:26:11.334674
4.87,4.67,9.0,8.59,15.23,4.94,40.0,33.75,947.19,0.01,351.3,-6.1,15:26:11.880313
4.84,4.96,9.0,9.38,20.31,3.84,40.0,33.75,949.9,0.01,351.3,-6.1,15:26:12.424614
4.8,4.82,9.0,8.59,15.23,4.94,40.0,33.75,958.49,0.01,351.3,-6.1,15:26:12.973150
4.84,4.8,9.0,8.59,15.23,3.84,40.0,33.75,964.95,0.01,351.3,-6.1,15:26:13.517588
4.92,4.98,8.0,7.81,15.23,3.84,40.0,33.75,965.73,0.01,351.3,-6.1,15:26:14.065035
4.91,4.84,8.0,7.81,15.23,3.84,40.0,33.75,960.69,0.01,351.3,-6.1,15:26:14.610395
4.81,4.86,8.75,7.81,15.23,3.84,40.0,33.75,955.81,0.01,351.3,-6.1,15:26:15.154820
4.75,4.78,7.0,7.81,15.23,3.84,40.0,33.75,955.81,0.01,351.3,-6.1,15:26:15.731753
4.79,4.68,8.0,7.81,15.23,3.84,40.0,33.75,941.46,0.01,351.3,-6.1,15:26:16.277458
4.69,4.79,8.0,7.81,15.23,3.84,40.0,33.75,940.37,0.01,351.3,-6.1,15:26:16.821979
4.6,4.56,8.0,7.81,15.23,3.84,40.0,33.75,915.96,0.01,351.3,-6.1,15:26:17.369112
4.49,4.56,7.0,6.25,15.23,3.84,40.0,33.75,889.61,0.01,351.3,-5.2,15:26:17.916767
4.37,4.46,7.0,6.25,15.23,3.43,40.0,33.75,883.08,0.01,351.3,-5.2,15:26:18.460963
4.29,4.28,10.63,8.59,15.23,4.94,40.0,33.75,854.51,0.01,351.3,-5.9,15:26:19.008423
4.29,4.39,10.0,9.38,20.31,3.84,40.0,33.75,870.36,0.01,351.3,-5.9,15:26:19.592059
4.5,4.47,10.0,9.38,20.31,3.84,40.0,33.75,888.42,0.01,351.3,-5.9,15:26:20.129794
4.38,4.65,10.0,9.38,20.31,4.94,40.0,33.75,904.38,0.01,351.3,-5.9,15:26:20.679426
4.47,4.49,10.0,8.59,15.23,4.94,40.0,33.75,906.02,0.01,351.1,-5.9,15:26:21.303494
4.67,4.71,10.0,9.38,20.31,3.84,40.0,33.75,923.1,0.01,351.1,-6.7,15:26:21.848012
4.7,4.71,10.0,9.38,20.31,3.84,40.0,33.75,933.29,0.01,351.1,-6.7,15:26:22.392630
4.73,4.79,9.0,8.59,15.23,3.84,40.0,33.75,938.42,0.01,351.1,-6.7,15:26:22.943503
4.7,4.73,8.0,7.81,15.23,4.94,40.0,33.75,936.41,0.01,351.1,-6.7,15:26:23.475432
4.76,4.68,10.0,9.38,20.31,4.94,40.0,33.75,935.27,0.01,351.1,-6.7,15:26:24.021512
4.76,4.83,10.0,9.38,20.31,4.94,40.0,33.75,949.19,0.01,351.1,-6.7,15:26:24.570126
4.88,4.78,10.0,9.38,20.31,4.94,40.0,33.75,955.63,0.01,351.1,-6.7,15:26:25.148771
4.85,4.85,11.0,10.16,20.31,4.94,40.0,33.75,958.04,0.01,351.1,-6.7,15:26:25.695697
4.85,4.95,10.0,8.59,15.23,3.84,40.0,33.75,975.68,0.01,351.1,-6.7,15:26:26.218917
4.88,4.82,9.0,8.59,15.23,4.94,40.0,33.75,966.81,0.01,351.1,-6.7,15:26:26.750294
4.8,4.81,9.0,8.59,15.23,4.94,40.0,33.75,952.21,0.01,351.1,-6.7,15:26:27.294754
4.74,4.72,9.0,7.81,15.23,3.84,40.0,33.75,933.95,0.01,351.1,-6.7,15:26:27.888996
4.73,4.66,9.0,8.59,15.23,4.94,41.25,33.75,934.15,0.01,351.1,-6.7,15:26:28.437681
4.65,4.63,8.0,7.81,15.23,3.84,41.25,33.75,924.14,0.01,351.1,-6.7,15:26:28.985531
4.61,4.58,8.0,7.81,15.23,3.84,41.25,33.75,915.23,0.01,351.1,-6.7,15:26:29.531392
4.52,4.53,8.0,7.81,15.23,4.94,41.25,33.75,904.91,0.01,351.1,-6.7,15:26:30.076276
4.52,4.5,9.0,8.59,15.23,4.94,40.0,33.75,891.27,0.01,351.1,-6.7,15:26:30.621628
4.57,4.58,7.0,6.25,15.23,3.84,40.0,33.75,905.56,0.01,351.1,-6.7,15:26:31.167456
4.57,4.57,7.0,7.81,15.23,3.84,40.0,33.75,905.56,0.01,351.1,-6.7,15:26:31.742803
4.58,4.5,8.0,7.81,15.23,3.84,40.0,33.75,896.99,0.01,351.1,-6.7,15:26:32.289720
4.51,4.59,7.0,7.81,15.23,3.84,40.0,33.75,899.81,0.01,351.1,-6.7,15:26:32.932727
4.6,4.53,7.0,6.25,15.23,3.84,40.0,33.75,900.71,0.01,351.1,-6.7,15:26:33.480293
4.51,4.63,8.0,7.81,15.23,3.84,40.0,33.75,902.17,0.01,351.2,-5.9,15:26:34.026681
4.51,4.54,8.99,7.81,15.23,3.84,40.0,33.75,893.95,0.01,351.2,-5.9,15:26:34.574835
4.54,4.61,9.0,8.59,15.23,4.94,40.0,33.75,900.37,0.01,351.1,-6.2,15:26:35.110890
4.62,4.71,10.0,9.38,20.31,4.94,40.0,33.75,926.72,0.01,351.1,-6.2,15:26:35.644650
4.73,4.76,10.0,9.38,20.31,3.84,40.0,33.75,938.02,0.01,351.0,-6.8,15:26:36.188814
4.84,4.87,10.0,9.38,20.31,4.94,40.0,33.75,951.36,0.01,351.0,-6.8,15:26:36.732536
4.75,4.81,11.0,9.38,20.31,4.94,40.0,33.75,943.49,0.01,351.0,-6.8,15:26:37.312659
4.89,4.93,12.0,11.72,20.31,4.94,40.0,33.75,971.42,0.01,351.0,-6.8,15:26:37.857151
5.12,5.26,10.0,10.16,20.31,4.94,40.0,33.75,1019.03,0.01,351.0,-6.8,15:26:38.446667
5.06,5.13,11.0,9.38,20.31,4.94,40.0,33.75,1030.4,0.01,350.9,-7.4,15:26:38.993454
5.02,5.12,12.0,11.72,20.31,4.94,40.0,33.75,1002.84,0.01,350.9,-7.4,15:26:39.570154
5.2,5.25,11.81,10.16,20.31,4.94,40.0,33.75,1023.14,0.01,350.9,-7.4,15:26:40.114348
5.39,5.33,10.0,9.38,20.31,3.84,40.0,33.75,1051.63,0.01,350.9,-7.4,15:26:40.661124
5.14,9.38,9.0,8.59,15.23,3.84,40.0,33.75,1035.52,0.01,350.9,-7.4,15:26:41.205371
5.12,5.08,9.0,8.59,15.23,4.94,40.0,33.75,1016.5,0.01,350.9,-7.4,15:26:41.753412
4.97,5.05,8.0,7.81,15.23,3.84,40.0,33.75,995.3,0.01,351.0,-6.4,15:26:42.286696
4.38,4.42,-9.87,-7.03,15.23,3.29,40.0,33.75,773.06,-0.01,351.0,-6.4,15:26:42.815635
2.75,2.72,-7.0,-7.81,15.23,4.8,41.25,33.75,610.09,-0.0,351.9,0.0,15:26:43.361549
1.54,1.41,-3.0,-2.34,5.08,2.2,41.25,33.75,351.08,-0.0,351.9,0.0,15:26:43.906180
0.69,0.69,6.51,5.47,10.16,2.2,41.25,33.75,228.45,0.0,351.9,0.0,15:26:44.453274
0.94,0.9,27.0,25.78,45.7,9.88,41.25,33.75,193.06,0.0,351.9,0.0,15:26:45.046833
2.14,2.14,21.0,21.09,40.63,8.37,41.25,33.75,372.38,0.01,351.9,0.0,15:26:45.591010
2.85,2.79,16.0,16.41,30.47,6.73,41.25,33.75,530.97,0.01,351.9,0.0,15:26:46.133661
3.14,3.2,16.0,15.62,30.47,6.59,41.25,33.75,617.43,0.01,351.9,0.0,15:26:46.679853
3.66,3.63,15.0,14.84,25.39,5.49,40.0,33.75,710.44,0.01,350.9,-7.9,15:26:47.222454
4.09,4.18,13.0,13.28,25.39,5.49,40.0,33.75,806.77,0.01,350.9,-7.9,15:26:47.770347
4.27,4.31,7.0,7.81,15.23,4.94,40.0,33.75,845.98,0.01,350.9,-7.9,15:26:48.315882
4.08,4.02,0.0,0.0,0.0,1.65,40.0,33.75,798.18,0.0,350.9,-7.9,15:26:48.860199
3.14,3.16,-7.48,-6.25,10.16,3.43,40.0,33.75,675.44,-0.01,350.9,-7.9,15:26:49.406943
1.83,1.82,-2.0,-5.47,10.16,3.29,40.0,33.75,406.06,-0.0,350.9,-7.9,15:26:49.952668
1.13,1.09,0.0,1.56,5.08,1.78,41.25,33.75,302.6,0.0,350.9,-7.9,15:26:50.497753
0.67,0.7,-1.0,-1.56,5.08,2.2,41.25,33.75,185.88,-0.0,351.8,-1.8,15:26:51.041443
0.3,0.28,5.91,3.91,10.16,2.2,42.5,33.75,134.4,0.0,351.8,-1.8,15:26:51.587037
0.15,0.15,27.0,24.22,50.78,8.78,42.5,33.75,32.42,0.0,351.8,-1.8,15:26:52.134109
0.71,0.85,27.0,0.0,0.0,1.78,41.25,33.75,105.13,0.0,351.8,-1.8,15:26:52.741608
0.44,0.36,-1.0,-0.78,5.08,1.65,41.25,33.75,179.63,-0.0,351.8,-1.8,15:26:53.287448
0.15,0.15,8.82,5.47,10.16,3.29,41.25,33.75,178.22,0.0,351.8,-1.8,15:26:53.832476
0.48,0.44,29.0,28.12,50.78,10.43,42.5,33.75,243.73,0.01,351.8,-1.8,15:26:54.376371
1.91,1.97,16.0,18.75,35.55,7.14,42.5,33.75,332.77,0.01,351.8,-1.8,15:26:54.971017
2.48,2.15,11.0,10.16,20.31,5.08,41.25,33.75,444.39,0.01,351.8,-1.8,15:26:55.519003
2.55,2.22,12.78,11.72,20.31,5.08,41.25,33.75,479.27,0.01,351.8,-1.8,15:26:56.063626
2.94,2.53,14.0,13.28,25.39,5.49,41.25,33.75,536.29,0.01,351.8,-1.8,15:26:56.612119
3.2,2.84,15.0,14.84,25.39,5.49,40.0,33.75,598.74,0.01,351.8,-1.8,15:26:57.144205
3.85,2.96,14.0,14.84,25.39,5.49,40.0,33.75,667.56,0.01,351.8,-1.8,15:26:57.737370
3.94,3.04,17.0,15.62,30.47,6.59,41.25,33.75,685.75,0.01,350.9,-7.8,15:26:58.280951
4.09,3.21,16.0,16.41,30.47,6.59,41.25,33.75,721.67,0.01,350.9,-7.8,15:26:58.826476
4.37,3.51,17.0,16.41,30.47,6.59,40.0,33.75,774.15,0.02,350.9,-7.8,15:26:59.371884
4.69,3.78,16.0,15.62,30.47,6.59,40.0,33.75,813.66,0.02,350.9,-7.8,15:26:59.920134
5.07,4.09,15.0,14.84,25.39,6.59,40.0,33.75,894.3,0.02,350.9,-7.8,15:27:00.465916
4.99,4.38,14.0,13.28,25.39,6.59,40.0,33.75,937.25,0.02,350.9,-7.8,15:27:01.009903
5.57,4.7,13.0,12.5,25.39,5.08,40.0,33.75,1003.58,0.02,350.9,-7.8,15:27:01.554277
5.79,4.83,10.0,9.38,20.31,4.94,40.0,33.75,1052.13,0.01,350.9,-7.8,15:27:02.082628
5.63,5.12,10.0,9.38,20.31,4.94,40.0,33.75,1041.16,0.01,350.9,-7.8,15:27:02.628822
4.96,5.12,-1.41,0.0,0.0,1.65,40.0,33.75,899.06,0.01,350.9,-7.8,15:27:03.286029
3.97,3.62,2.25,0.0,0.0,0.14,40.0,33.75,776.72,0.0,350.9,-7.8,15:27:03.820479
3.52,3.11,12.0,11.72,20.31,4.94,41.25,33.75,698.85,0.01,350.9,-7.8,15:27:04.364823
3.6,3.4,13.0,13.28,25.39,5.49,41.25,33.75,686.84,0.01,350.9,-7.8,15:27:04.895117
3.5,3.45,16.0,14.84,25.39,6.59,41.25,33.75,697.78,0.01,350.9,-7.8,15:27:05.440848
3.62,3.55,17.0,16.41,30.47,6.59,41.25,33.75,705.93,0.01,350.9,-7.8,15:27:05.990221
3.64,3.85,16.0,15.62,30.47,6.59,41.25,33.75,726.59,0.02,350.7,-8.8,15:27:06.534411
3.74,3.73,13.0,12.5,25.39,5.49,41.25,33.75,741.36,0.01,350.7,-8.8,15:27:07.129946
2.91,2.92,-3.75,-3.12,5.08,1.78,40.0,33.75,544.87,-0.0,350.7,-8.8,15:27:07.655945
1.69,1.67,-5.0,-4.69,10.16,3.29,41.25,33.75,382.57,-0.0,350.7,-8.8,15:27:08.188611
0.47,0.63,-1.0,-0.78,5.08,2.2,41.25,33.75,179.72,-0.0,350.7,-8.8,15:27:08.737635
0.19,0.15,0.0,0.0,0.0,0.14,42.5,33.75,158.03,0.0,350.7,-8.8,15:27:09.284091
0.34,0.66,11.61,8.59,15.23,3.43,42.5,33.75,14.65,0.0,350.7,-8.8,15:27:09.830601
0.28,0.32,16.0,15.62,30.47,6.73,41.25,33.75,31.57,-0.0,351.6,-3.6,15:27:10.375098
0.16,0.35,22.0,20.31,35.55,8.24,41.25,33.75,48.38,0.0,351.6,-3.6,15:27:10.923470
1.13,1.12,21.0,20.31,35.55,8.24,40.0,33.75,176.38,0.01,351.6,-3.6,15:27:11.469407
1.47,1.47,17.0,16.41,30.47,8.24,40.0,33.75,279.27,0.01,351.6,-3.6,15:27:12.060355
1.69,1.81,19.0,18.75,35.55,7.14,40.0,33.75,323.54,0.01,351.6,-3.6,15:27:12.606648
1.92,2.04,19.0,18.75,35.55,8.24,40.0,33.75,379.99,0.01,351.6,-3.6,15:27:13.151140
2.13,2.06,0.0,0.0,10.16,3.43,40.0,33.75,406.99,0.0,351.6,-3.6,15:27:13.682863
0.89,0.84,-3.0,-2.34,5.08,2.61,41.25,33.75,298.16,-0.0,351.6,-1.7,15:27:14.228142
0.59,0.26,0.0,0.0,0.0,0.55,41.25,33.75,226.09,0.0,351.6,-1.7,15:27:14.776205
0.28,0.26,0.0,0.0,0.0,0.0,42.5,33.75,146.14,0.0,351.7,-1.7,15:27:15.325212
0.35,0.3,0.0,0.0,0.0,0.0,42.5,33.75,21.02,0.0,351.7,-1.7,15:27:15.867211
0.37,0.37,5.31,3.12,5.08,0.0,42.5,33.75,60.08,-0.0,351.7,-1.7,15:27:16.446705
0.37,0.34,28.0,27.34,66.02,11.53,42.5,33.75,69.27,-0.0,351.7,-1.7,15:27:16.991798
0.82,0.97,28.0,29.69,55.86,11.67,42.5,33.75,147.55,0.01,351.4,-5.1,15:27:17.520475
1.45,1.53,13.0,12.5,25.39,5.49,42.5,33.75,284.09,0.0,351.4,-5.1,15:27:18.069086
1.29,1.37,20.0,19.53,35.55,7.14,41.25,33.75,275.67,0.01,351.4,-5.1,15:27:18.603956
1.68,1.57,23.0,22.66,40.63,8.37,41.25,33.75,318.99,0.01,351.4,-5.1,15:27:19.152412
2.18,2.13,22.0,21.09,40.63,8.37,41.25,33.75,402.75,0.01,351.4,-5.1,15:27:19.685166
2.39,2.52,20.0,19.53,35.55,8.1,41.25,33.75,469.33,0.01,351.4,-5.1,15:27:20.233805
2.69,2.77,20.0,19.53,35.55,8.24,41.25,33.75,530.32,0.01,351.4,-5.1,15:27:20.778562
2.8,3.12,20.0,19.53,35.55,6.73,40.0,33.75,577.34,0.01,351.4,-5.1,15:27:21.371815
2.77,3.31,18.0,17.19,30.47,6.73,40.0,33.75,602.79,0.01,351.4,-5.1,15:27:21.915358
3.0,3.64,19.0,18.75,35.55,6.73,40.0,33.75,642.45,0.02,351.4,-5.1,15:27:22.460601
3.11,3.84,18.0,18.75,35.55,6.73,40.0,33.75,690.26,0.02,351.4,-5.1,15:27:23.007707
3.08,3.86,18.0,17.19,30.47,6.73,40.0,33.75,685.16,0.01,351.4,-5.1,15:27:23.551882
3.1,3.77,20.0,19.53,35.55,8.24,40.0,33.75,676.66,0.02,351.4,-5.1,15:27:24.098496
3.18,4.08,21.0,19.53,35.55,8.24,40.0,33.75,705.1,0.02,351.4,-5.1,15:27:24.644820
3.6,4.45,19.0,18.75,35.55,6.73,40.0,33.75,782.12,0.02,350.3,-10.6,15:27:25.172424
3.96,4.88,17.0,16.41,30.47,6.73,40.0,33.75,851.99,0.02,350.3,-10.6,15:27:25.719734
4.27,4.69,14.0,13.28,25.39,6.59,40.0,33.75,880.95,0.01,350.3,-10.6,15:27:26.265410
4.11,4.52,14.0,12.5,25.39,5.49,40.0,33.75,863.13,0.01,350.3,-10.6,15:27:26.809372
3.93,4.5,14.0,12.5,25.39,5.49,40.0,33.75,830.62,0.01,350.3,-10.6,15:27:27.418825
4.09,4.36,12.0,11.72,20.31,5.08,40.0,33.75,853.69,0.01,350.3,-10.6,15:27:27.965721
4.29,4.56,11.0,10.16,20.31,5.08,40.0,33.75,887.74,0.01,350.3,-10.6,15:27:28.540262
3.93,4.11,-1.0,0.0,0.0,1.65,40.0,33.75,726.62,0.0,350.3,-10.6,15:27:29.098838
2.74,2.59,3.59,0.78,5.08,1.65,41.25,33.75,609.79,0.0,350.3,-10.6,15:27:29.646575
1.94,2.06,21.0,20.31,35.55,6.73,42.5,33.75,446.3,0.01,350.3,-10.6,15:27:30.178019
2.68,2.6,23.0,22.66,40.63,8.78,42.5,33.75,488.32,0.01,350.3,-10.6,15:27:30.725812
3.17,3.34,18.0,17.19,30.47,6.73,41.25,33.75,621.16,0.01,350.3,-10.6,15:27:31.271606
3.67,3.61,16.0,15.62,30.47,6.59,41.25,33.75,705.92,0.01,350.3,-10.6,15:27:31.819845
3.63,3.81,18.0,17.19,30.47,6.73,41.25,33.75,748.18,0.02,350.3,-10.6,15:27:32.379286
4.06,4.14,18.0,16.41,30.47,6.73,41.25,33.75,801.94,0.02,350.3,-10.6,15:27:32.925464
4.06,4.29,18.0,17.19,30.47,6.73,40.0,33.75,843.06,0.02,350.3,-10.6,15:27:33.520095
4.43,4.7,16.0,15.62,30.47,5.49,40.0,33.75,894.92,0.02,350.3,-10.6,15:27:34.067780
4.76,4.74,15.0,14.84,25.39,5.49,40.0,33.75,938.52,0.02,350.3,-10.6,15:27:34.613515
4.79,4.82,13.0,12.5,25.39,5.49,40.0,33.75,962.35,0.01,350.3,-10.6,15:27:35.159503
4.85,4.94,12.0,11.72,20.31,5.08,40.0,33.75,955.21,0.01,350.3,-10.6,15:27:35.704582
4.75,5.17,10.0,9.38,20.31,4.94,41.25,33.75,978.92,0.01,350.3,-10.6,15:27:36.249608
4.17,4.45,-1.0,-0.78,5.08,1.65,41.25,33.75,850.64,-0.0,350.3,-10.6,15:27:36.796315
3.33,3.47,3.03,0.0,0.0,1.65,42.5,33.75,697.5,0.0,350.3,-10.6,15:27:37.343527
3.0,2.99,9.0,7.81,15.23,3.84,42.5,33.75,612.31,0.01,350.3,-10.6,15:27:37.889180
2.84,3.14,11.0,9.38,20.31,4.94,42.5,33.75,579.04,0.01,351.1,-4.9,15:27:38.451160
2.95,3.16,11.24,10.16,20.31,4.94,42.5,33.75,605.56,0.01,351.1,-4.9,15:27:39.046037
3.21,3.15,12.0,11.72,20.31,5.49,41.25,33.75,615.24,0.01,351.1,-4.9,15:27:39.592667
3.32,3.51,12.0,11.72,20.31,5.49,41.25,33.75,675.53,0.01,350.8,-6.1,15:27:40.137498
3.59,3.67,12.0,11.72,20.31,5.08,41.25,33.75,709.07,0.01,350.8,-6.1,15:27:40.683259
3.88,3.82,11.0,9.38,20.31,4.94,41.25,33.75,749.9,0.01,350.8,-6.1,15:27:41.228470
3.63,3.65,10.0,9.38,20.31,4.94,41.25,33.75,718.57,0.01,350.8,-6.1,15:27:41.773469
3.63,3.8,10.0,9.38,20.31,3.84,41.25,33.75,739.08,0.01,350.9,-5.6,15:27:42.354858
3.79,3.83,9.0,8.59,15.23,3.84,41.25,33.75,754.02,0.01,350.9,-5.6,15:27:42.904605
3.79,3.83,7.0,6.25,15.23,3.84,41.25,33.75,765.44,0.01,350.9,-5.6,15:27:43.452138
3.94,4.08,6.0,6.25,15.23,3.43,41.25,33.75,777.85,0.01,350.9,-5.6,15:27:43.997616
