скорость ПП колеса,скорость ПЛ колеса,АЦП датчика ПП колеса,АЦП датчика ПЛ колеса,time
0.0,0.0,2026.0,4059.0,13:05:35.040367
0.0,0.0,2022.0,4056.0,13:05:35.335786
0.0,0.0,2023.0,4050.0,13:05:35.641694
0.0,0.0,0.0,2025.0,13:05:35.929721
0.0,0.0,2018.0,4052.0,13:05:36.235992
0.0,0.0,2021.0,4056.0,13:05:36.530024
0.0,0.0,2025.0,4056.0,13:05:36.828021
0.0,0.0,2023.0,4057.0,13:05:37.123813
0.02,0.0,0.0,0.0,13:05:37.421477
0.0,0.0,2014.0,4052.0,13:05:37.717189
0.0,0.0,2031.0,4051.0,13:05:38.014454
0.0,0.0,2022.0,4057.0,13:05:38.312681
0.0,0.0,2021.0,4059.0,13:05:38.611579
0.0,0.0,0.0,2022.0,13:05:38.909464
0.0,0.0,0.0,0.0,13:05:39.205216
0.0,0.0,2027.0,4058.0,13:05:39.503054
0.0,0.0,2021.0,4053.0,13:05:39.799897
0.0,0.0,2024.0,4056.0,13:05:40.094502
0.0,0.0,4062.0,2019.0,13:05:40.391376
0.02,0.15,3698.0,2030.0,13:05:40.690088
0.56,0.18,4055.0,4052.0,13:05:40.989480
0.29,0.15,2029.0,4046.0,13:05:41.287586
0.25,0.0,2025.0,2019.0,13:05:41.584570
0.15,0.0,2023.0,2007.0,13:05:41.883190
0.0,0.0,0.0,2024.0,13:05:42.180250
0.0,0.0,0.0,0.0,13:05:42.476981
0.0,0.0,2022.0,4059.0,13:05:42.775436
0.0,0.0,4068.0,4057.0,13:05:43.073487
0.0,0.0,4062.0,4052.0,13:05:43.373129
0.16,0.0,-17746.0,0.0,13:05:43.660303
0.0,0.02,0.0,4058.0,13:05:43.956566
0.0,0.0,4069.0,4046.0,13:05:44.253483
0.0,0.0,4064.0,4054.0,13:05:44.551920
0.0,0.0,4057.0,4058.0,13:05:44.847153
0.0,0.0,4072.0,4056.0,13:05:45.145932
0.0,0.0,0.0,4066.0,13:05:45.444810
0.0,0.0,4056.0,4057.0,13:05:45.740991
0.0,0.0,4055.0,4058.0,13:05:46.038387
0.0,0.0,4064.0,4047.0,13:05:46.336213
0.0,0.0,4056.0,4058.0,13:05:46.632288
0.0,12.71,0.0,2012.0,13:05:46.929359
0.0,0.0,2018.0,2009.0,13:05:47.226293
0.0,0.0,2026.0,2008.0,13:05:47.525400
0.0,0.0,4063.0,4052.0,13:05:47.821204
0.34,0.33,4059.0,4061.0,13:05:48.118939
0.31,0.41,-8086.0,2021.0,13:05:48.415583
0.42,0.25,2022.0,4056.0,13:05:48.711710
0.15,0.24,4064.0,4050.0,13:05:49.007669
0.0,0.21,3296.0,2009.0,13:05:49.305711
